practice,country,summary,img,audio
"Enkipaata, Eunoto and Olng'esherr, three male rites of passage of the Maasai community",Kenya,"Enkipaata, Eunoto and Olng’esherr are three interrelated male rites of passage of the Maasai community: Enkipaata is the induction of boys leading to initiation; Eunoto is the shaving of the morans paving the way to adulthood; and Olng’esherr is the meat-eating ceremony that marks the end of moranism and the beginning of eldership. The rites of passage are mainly practised by young men of the Maasai community aged between fifteen and thirty, but women also undertake certain tasks. By educating young people about their future role in Maasai society, the rites serve to induct them first to moranhood, then as young elders, and finally as senior elders. Respect and responsibility, safeguarding of the lineage, transfer of powers from one age set to the next and the transmission of indigenous knowledge, such as in relation to livestock rearing, conflict management, legends, traditions and life skills, are some of the core values embedded in those rites of passage. However, while the rites still attract relatively sizeable crowds, the practice appears to be rapidly declining due to the fast emergence of agriculture as a main source of income, reforms of the land tenure system and the impact of climate change that affects the survival of cattle.",N/A,https://ich.unesco.org/doc/download.php?versionID=50670
Knowledge and skills of the water measurers of the foggaras or water bailiffs of Touat and Tidikelt,Algeria,"The element concerns the knowledge and skills of the water measurers of the foggaras (system of channels), or water bailiffs, of the ksour (village) communities of Touat and Tidikelt. The water measurers are involved in various operations, from calculating water shares to repairing distribution combs and conducting water in the channel. Every foggara connects several categories of social agents and knowledge bearers, including owners, manual workers, accountants and water measurers, but it is the water measurers’ knowledge that appears to be under threat. The water measurers are a key figure in the life of the Saharan ksour because they manage a domain vital to the survival of all. They play both an intellectual and a manual role and can be called upon continuously by the community. However, there is currently a lack of communication between young people and their elders, and several factors have disrupted the proper functioning of the foggara, including changes by the central government to relations of ownership, the effects of urbanization and modernisation, and a lack of consideration as to what steps need to be taken to ensure knowledge is transmitted. The loss of activity for water measurers is directly reflected in their advanced age, which demonstrates a lack of new practitioners entering the business.",N/A,https://ich.unesco.org/doc/download.php?versionID=50658
Lkhon Khol Wat Svay Andet,Cambodia,"Lkhon Khol Wat Svay Andet is practised in one community surrounding a Buddhist monastery, Wat Svay Andet – located about 10km east of Phnom Penh on the Mekong River – and is performed by men wearing masks to the accompaniment of a traditional orchestra and melodious recitation. The specific aim is to propitiate the Neak Ta (guardian spirits of a place and its people), thereby protecting and bringing prosperity to the community, its lands and harvest. When Lkhon Khol is performed, spirit mediums are present and facilitate interactions between the Neak Ta, performers and villagers. When the spirits are satisfied with the performance, villagers are blessed by them; otherwise, the dancers stop, the music continues, and the audience falls silent and carefully listens to the spirits. Lkhon Khol is performed for ritual purposes, mostly linked to the cycle of rice farming and the needs of farming communities. The practice is transmitted orally within the community, and the Head Monk and retired primary school principal recently initiated additional weekend classes and started writing down scripts for selected episodes. After generations of transmission, however, several factors now threaten the viability of the element, including environmental factors, insufficient resources, economic migration from the community and a fourteen-year break in transmission from 1970 to 1984 due to the war and the Khmer Rouge regime.",N/A,https://ich.unesco.org/doc/download.php?versionID=50668
Shadow play,Syrian Arab Republic,"Shadow play is a traditional art consisting of handmade puppets moving behind a thin translucent curtain or screen inside a dark theatre, now practised mainly in Damascus. A light from behind the stage projects the shadows of the puppets onto the screen as they move along to an oral script and music. The theatrical content of Shadow play revolves around humorous social criticisms – employing elements of suggestion, poetry, prose, singing and music – and satire is employed to relay narratives between the two main characters, the naïve Karakoz and his clever friend Eiwaz. Other characters include female personalities and talking animals. Performances are traditionally held in popular cafes, where people gather to watch stories about everyday life. The prevalence of Shadow play has declined over the years, however, notably due to the spread of modern technology and digital forms of entertainment, and the mass displacement of Syrian people both inside and outside the country as a result of armed conflicts in Syria. Performances in popular cafes have waned and are now mostly confined to festivals, special holidays and theatres. The confluence of these factors has negatively affected the sustainability of the element, to the point that there is only one active Mukhayel (puppeteer) left in Damascus.",N/A,https://ich.unesco.org/doc/download.php?versionID=50672
"Suri Jagek (observing the sun), traditional meteorological and astronomical practice based on the observation of the sun, moon and stars in reference to the local topography",Pakistan,"Suri Jagek, literally translated as ‘observing the sun’, is the traditional Kalasha meteorological and astronomical knowledge system and practice – enacted predominantly in the Hindu Kush mountain range – based on the observation of the sun, moon, stars and shadows with respect to the local topography. The system is a complex structure of empirically observed knowledge and is repeatedly referenced to allow the Kalasha people to predict the appropriate time for sowing seeds, animal husbandry and natural calamities. It is also used to govern the Kalasha calendar by determining the dates of important social events, festivals, feasts and religious ceremonies. The practice demonstrates the relationship of the Kalasha people with their surroundings and the importance of their immediate geographical context to sustain their way of life. The viability and transmission of the knowledge system rest on an innovative transfer of information through folk stories, songs, proverbs and rhetoric and certain aspects of it – such as the study of shadows and its use in rearing cattle and livestock – are being recreated to fit into modern society. However, with the advent of the digital age, people are increasingly opting for more technologically ‘advanced’ means of predicting weather conditions. While the practice remains visible as an oral tradition, there is currently a lack of awareness among the younger generation about its cultural significance and benefits.",N/A,https://ich.unesco.org/doc/download.php?versionID=50671
Traditional hand puppetry,Egypt,"Al-Aragoz is an old form of Egyptian theatre using traditional hand puppetry. Performances are highly popular events during which puppeteers remain hidden inside a small portable stage while an assistant interacts with the puppets and crowd. Al-Aragoz takes its name from the main puppet, whose distinctive voice is created with a voice modifier. Performers and the audience interact dynamically throughout the shows, which have a comic and entertaining atmosphere, and practitioners must be skilled in manipulating and maintaining the puppet, as well as in improvisation and music. Shows explore a variety of themes relating to daily life, with a recurring theme being the struggle against corruption. The art used to be presented by groups of travelling performers, who moved from one folk celebration to another. However, when these performances began to dwindle, performers and their assistants settled permanently in fixed places, mostly in Cairo. The viability of the practice is threatened by the changing social, political, legal and cultural circumstances of its enactment, such as laws concerning public gatherings, the rise of religious radicalism, an overall decrease in interest among younger generations, and the advanced age of its active practitioners. The number of surviving practitioners has diminished while many of those who once-performed stories have now disappeared. ",N/A,https://ich.unesco.org/doc/download.php?versionID=50669
"Yalli (Kochari, Tenzere), traditional group dances of Nakhchivan",Azerbaijan,"Yalli, traditional group dances, are dance expressions based exclusively on collective performances. Typically, yalli are performed in a circle, chain or line, and involve elements of games, pantomime (bird or other animal imitations), physical exercises and movements. The community of the yalli dances consists of practising dancers, who enact the dances either spontaneously or in a planned manner at various festivities and celebrations. Some variants of yalli bear a song-like character and are practised by both women and men, while others are practised by men only and imitate pastoralist games with some elements of butting animals. Until the mid-twentieth century, yalli were widely practised but several factors have impacted the transmission of the practice thereafter. They include a gradual loss of social functions for certain types of yalli, a preference for staged performances, external factors such as labour migration and the economic crises of the late 1980s and early 1990s, a shift from informal to formal transmission, and a drastic simplification of the dances, which has entailed a loss of diversity.",N/A,https://ich.unesco.org/doc/download.php?versionID=50667
"Art of dry stone walling, knowledge and techniques","Croatia, Cyprus, France, Greece, Italy, Slovenia, Spain and Switzerland","The art of dry stone walling concerns the knowhow related to making stone constructions by stacking stones upon each other, without using any other materials except sometimes dry soil. Dry stone structures are spread across most rural areas – mainly in steep terrains – both inside and outside inhabited spaces, though they are not unknown in urban areas. The stability of the structures is ensured through the careful selection and placement of the stones, and dry-stone structures have shaped numerous, diverse landscapes, forming various modes of dwelling, farming and husbandry. Such structures testify to the methods and practices used by people from prehistory to today to organize their living and working space by optimizing local natural and human resources. They play a vital role in preventing landslides, floods and avalanches, and in combating erosion and desertification of the land, enhancing biodiversity and creating adequate microclimatic conditions for agriculture. The bearers and practitioners include the rural communities where the element is deeply rooted, as well as professionals in the construction business. Dry stone structures are always made in perfect harmony with the environment and the technique exemplifies a harmonious relationship between human beings and nature. The practice is passed down primarily through practical application adapted to the particular conditions of each place.",N/A,https://ich.unesco.org/doc/download.php?versionID=50681
As-Samer in Jordan,Jordan,"Practised across many areas of Jordan, As-Samer consists mainly of dancing and singing and is performed on various occasions, most commonly during marriage ceremonies. Practitioners range from young to older individuals, with children being encouraged to take part during performances. On the wedding day, the father of the groom instructs the attendees to line up and start applauding and singing. The performance that follows involves specific roles for certain people. The Al-Hashi is a veiled woman, always one of the inviters’ relatives, who sings and dances in front of the Al-Samer row while wearing an Abaya (a loose, black garment worn over the traditional garment). Another person is the ‘Wasq Al-Hashi’, one of the Al-Hashi’s relatives, who takes hold of her sleeve or Abaya and asks her to sit down. Then comes the role of the Al-Badda, a man who starts singing by directly addressing Al-Hashi, to resume the dancing with poetry. The lines of poetry uttered during the performance form an integral part of the tradition, expressing feelings of joy, peace, intimacy and empathy among attendees. Practising As-Samer consolidates social bonds and promotes cohesion, and attendees of all ages are encouraged to participate spontaneously, in an effort to transmit the related skills and knowledge to the next generations.",N/A,https://ich.unesco.org/doc/download.php?versionID=50690
Avalanche risk management,Switzerland and Austria,"Avalanche risk management has shaped the identity of Alpine populations, as every winter they deal with the threat avalanches pose to inhabitants, tourists, means of communication and other vital infrastructure. Since the Alps are densely populated, the phenomenon of avalanches is a prime concern and a collective responsibility of the communities. For centuries, inhabitants and highlanders have developed local empirical knowledge, management and risk-avoidance strategies as well as cultural practices to guard themselves against avalanche hazards. Nowadays, modern tools such as measurement instruments and risk mapping complement traditional knowledge, which continues to be developed and adjusted on the ground by knowledge bearers. The element is entrenched in the everyday culture of the communities concerned and underscores the importance of solidarity in crisis situations. Assessing avalanche risks requires a sound knowledge of nature, especially the terrain, snow, weather conditions and past avalanches. While that knowledge was once transmitted verbally, nowadays it is the result of a dynamic process combining empirical knowledge and practical experience: knowledge is transferred from science to practice, and from the ground to research. Numerous training activities are offered, and those interested have access to a wide range of information sources such as avalanche bulletins, the media, checklists, websites, media, manuals and exhibitions.",N/A,https://ich.unesco.org/doc/download.php?versionID=50712
