Name,Precaution,valid,pages,touristvisa,vax,centry,cexit,code,Region,Climate,pop,Languages,Other languages,urban,Links
Afghanistan,Level 4: Do Not Travel,Must be valid for six months at time of entry,One page required for entry stamp,Yes,Polio vaccination up to 1 year before travel is recommended. See the U.S. Centers for Disease Control and Prevention Fact Sheet,"$20,000 ","$20,000 ",af,Asia,arid to semiarid; cold winters and hot summers,34940837,"Afghan Persian or Dari (official) 80% (Dari functions as the lingua franca), Pashto (official) 47%, Uzbek 11%, English 5%, Turkmen 2%, Urdu 2%, Pashayi 1%, Nuristani 1%, Arabic 1%, Balochi, Shughni, Pamiri, Hindi, Russian, German, French  
        (2017 est.)","note: data represent most widely spoken languages; shares sum to more than 100% because there is much bilingualism in the country and because respondents were allowed to select more than one language note: the Turkic languages Uzbek and Turkmen, as well as Balochi, Pashayi, Nuristani, and Pamiri are the third official languages in areas where the majority speaks them",4.012 million KABUL (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AF-flag.gif
Albania,Level 1: Exercise Normal Precautions,Three months,One page required for entry stamp,"Not required for stays under one year. If you intend to stay more than a year in Albania, you will need to apply for a residency permit",Required. One must bring evidence of vaccination if arriving from countries as listed by www.who.int,"1,000,000 lekë (approximately $9,500 USD at time of publication, though the rate can fluxuate) or equivalent","1,000,000 lekë (approximately $9,500 USD at time of publication, though the rate can fluxuate) or equivalent. For more information you can visit Albanian Customs website.",al,Europe,"mild temperate; cool, cloudy, wet winters; hot, clear, dry summers; interior is cooler and wetter",3057220,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1%
        (2011 est.)",,"476,000 TIRANA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AL-flag.gif
Algeria,Level 2: Exercise Increased Caution,Minimum of six months remaining on entry,One page required for entry stamp,"Yes, unless entering via cruise ship",None required,Travelers must declare at Customs if they are traveling with more than 3000 Algerian dinar or foreign currency that exceeds 1000 euros (or equivalent),Algerian dinars cannot be taken out of the country,ag,Africa,"arid to semiarid; mild, wet winters with hot, dry summers along coast; drier with cold winters and hot summers on high plateau; sirocco is a hot, dust/sand-laden wind especially common in summer",41657488,"Arabic  (official), French  (lingua franca), Berber or Tamazight (official); dialects include Kabyle Berber (Taqbaylit), Shawiya Berber (Tacawit), Mzab Berber, Tuareg Berber (Tamahaq)",,"2.694 million ALGIERS (capital), 881,000 Oran",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AG-flag.gif
Andorra,Level 1: Exercise Normal Precautions,"6 months recommended before entry into Andorra, although only 3 months are required.",Entry stamp available upon request.,"None required for stays less than 90 days in Spain, France, or Andorra.",None,None,None,an,Europe,"temperate; snowy, cold winters and warm, dry summers",85708,"Catalan  (official), French, Castilian, Portuguese",,"23,000 ANDORRA LA VELLA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AN-flag.gif
Angola,Level 1: Exercise Normal Precautions,6 months from date of entry,2 blank pages,Yes,Yellow fever,"Declare amounts over $10,000","50,000 kwanzas + $10,000 (See currency regulations below)",ao,Africa,"semiarid in south and along coast to Luanda; north has cool, dry season (May to October) and hot, rainy season (November to April)",30355880,"Portuguese 71.2% (official), Umbundu 23%, Kikongo 8.2%, Kimbundu 7.8%, Chokwe 6.5%, Nhaneca 3.4%, Nganguela 3.1%, Fiote 2.4%, Kwanhama 2.3%, Muhumbi 2.1%, Luvale 1%, other 3.6%
        (2014 est.)",note: most widely spoken languages; shares sum to more than 100% because some respondents gave more than one answer on the census,7.774 million LUANDA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AO-flag.gif
Anguilla,Level 1: Exercise Normal Precautions,Must be valid at time of entry,1 page required for entry stamp,"Not required if you have an onward or return ticket, confirmation of accommodation, and can produce evidence of your ability to maintain yourself",None,None,None,av,Central America and the Caribbean,tropical; moderated by northeast trade winds,17422,English  (official),,"1,000 THE VALLEY (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AV-flag.gif
Antarctica,Level 2: Exercise Increased Caution,Required by transit countries,May be required by transit countries.,None for Antarctica. May be required by transit countries.,None,None,None,ay,Antarctic Region,"the coldest, windiest, and driest continent on Earth; severe low temperatures vary with latitude, elevation, and distance from the ocean; East Antarctica is colder than West Antarctica because of its higher elevation; Antarctic Peninsula has the most mode",,N/A,N/A,N/A,N/A
Antigua and Barbuda,Level 1: Exercise Normal Precautions,180 days following your departure date,1 page required for entry stamp,"No, but see entry-exit requirements below",None,None,None,ac,Central America and the Caribbean,tropical maritime; little seasonal temperature variation,95882,"English  (official), Antiguan creole",,"21,000 SAINT JOHN'S (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AC-flag.gif
Argentina,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page required for entry stamp,Not required for stays of 90 days or less,None,None,"Up to US$10,000 or equivalent undeclared for those over age 16; up to US$5,000 or equivalent undeclared for those under 16",ar,South America,mostly temperate; arid in southeast; subantarctic in southwest,44694198,"Spanish  (official), Italian, English, German, French, indigenous (Mapudungun, Quechua)",,"14.967 million BUENOS AIRES (capital), 1.548 million Cordoba, 1.488 million Rosario, 1.133 million Mendoza, 956,000 San Miguel de Tucuman, 864,000 La Plata",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AR-flag.gif
Armenia,Level 1: Exercise Normal Precautions,Must be valid at time of entry and departure,No requirement,None for U.S. Citizens staying for less than 180 days per year,None,"$10,000 USD","$10,000 USD",am,Asia,"highland continental, hot summers, cold winters",3038217,"Armenian (official) 97.9%, Kurdish (spoken by Yezidi minority) 1%, other 1%
        (2011 est.)",note: Russian is widely spoken,1.08 million YEREVAN (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AM-flag.gif
