Site name,Country Name,Description,Coordinates,Region,Inscription date,Criteria
Minaret and Archaeological Remains of Jam,Afghanistan,"The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.",N34 23 47.1 E64 30 57.2,"Shahrak District, Ghur Province",2002,(ii)(iii)(iv)
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Afghanistan,"The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.",N34 50 48.984 E67 49 30.9,"Bamiyan Province, Bamiyan District",2003,(i)(ii)(iii)(iv)(vi)
Butrint,Albania,"Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city’s development.",N39 45 4 E20 1 34,"District of Sarandë, County of Vlorë",1992,(iii)
Historic Centres of Berat and Gjirokastra ,Albania,"Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which began in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period.",N40 4 10 E20 7 60,N/A,2005,(iii)(iv)
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,"Albania, Austria, Belgium, Bulgaria, Croatia, Germany, Italy, Romania, Slovakia, Slovenia, Spain, Ukraine","This transboundary property stretches over 12 countries. Since the end of the last Ice Age, European Beech spread from a few isolated refuge areas in the Alps, Carpathians, Dinarides, Mediterranean and Pyrenees over a short period of a few thousand years in a process that is still ongoing. The successful expansion across a whole continent is related to the tree’s adaptability and tolerance of different climatic, geographical and physical conditions. ",N49 0 35 E22 20 20,N/A,2007,(ix)
Al Qal'a of Beni Hammad,Algeria,"In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.",N35 49 6.384 E4 47 12.624,"Commune of Maadid ""Bechara"", Wilaya (province) of M'Sila",1980,(iii)
Djémila,Algeria,"Situated 900 m above sea-level, Djémila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.",N36 19 14.016 E5 44 12.012,Wilaya  (province) of Setif,1982,(iii)(iv)
M'Zab Valley,Algeria,"A traditional human habitat, created in the 10th century by the Ibadites around their five ksour (fortified cities), has been preserved intact in the M’Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M’Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today’s urban planners.",N32 28 59.988 E3 40 59.988,Wilaya (province) of Ghardaïa,1982,(ii)(iii)(v)
Tassili n'Ajjer,Algeria,"Located in a strange lunar landscape of great geological interest, this site has one of the most important groupings of prehistoric cave art in the world. More than 15,000 drawings and engravings record the climatic changes, the animal migrations and the evolution of human life on the edge of the Sahara from 6000 BC to the first centuries of the present era. The geological formations are of outstanding scenic interest, with eroded sandstones forming ‘forests of rock’.",N25 30 0 E9 0 0,Wilayas (provinces) of Illizi and Tamanghasset,1982,(i)(iii)(vii)(viii)
Timgad,Algeria,"Timgad lies on the northern slopes of the Aurès mountains and was created ex nihilo as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the cardo and decumanus, the two perpendicular routes running through the city, it is an excellent example of Roman town planning.",N35 29 03 E6 28 07.9,"Commune of Timgad, Wilaya (province) of Batna",1982,(ii)(iii)(iv)
Tipasa,Algeria,"On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania.",N36 32 60 E2 22 60,Commune and Wilaya (province) of Tipasa,1982,(iii)(iv)
Kasbah of Algiers,Algeria,"The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.",N36 46 59.988 E3 3 37.008,City and Wilaya (province) of Algiers,1992,(ii)(v)
Madriu-Perafita-Claror Valley,Andorra,"The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open pastures and steep wooded valleys, covers an area of 4,247 ha, 9% of the total area of the principality. It reflects past changes in climate, economic fortune and social systems, as well as the persistence of pastoralism and a strong mountain culture, notably the survival of a communal land-ownership system dating back to the 13th century. The site features houses, notably summer settlements, terraced fields, stone tracks and evidence of iron smelting.",N42 29 41 E1 35 44,"Part of Communes of Encamp, Andorra la Vella, Saint Julia de Loria and Escaldes-Engordany",2004,(v)
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Angola,"The town of Mbanza Kongo, located on a plateau at an altitude of 570 m, was the political and spiritual capital of the Kingdom of Kongo, one of the largest constituted states in Southern Africa from the 14th to 19th centuries. The historical area grew around the royal residence, the customary court and the holy tree, as well as the royal funeral places. When the Portuguese arrived in the 15th century they added stone buildings constructed in accordance with European methods to the existing urban conurbation built in local materials. Mbanza Kongo illustrates, more than anywhere in sub-Saharan Africa, the profound changes caused by the introduction of Christianity and the arrival of the Portuguese into Central Africa.",S6 16 8 E14 14 59,N/A,2017,(iii)(iv)
Antigua Naval Dockyard and Related Archaeological Sites,Antigua and Barbuda,"The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hurricanes and was ideal for repairing ships. The construction of the Dockyard by the British navy would not have been possible without the labour of generations of enslaved Africans since the end of the 18th century. Its aim was to protect the interests of sugar cane planters at a time when European powers were competing for control of the Eastern Caribbean.",N17 0 25 W61 45 42,N/A,2016,(ii)(iv)
Los Glaciares National Park,Argentina,"The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes.",S50 0 0 W73 14 57.984,Santa Cruz,1981,(vii)(viii)
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)","Argentina, Brazil","The ruins of São Miguel das Missões in Brazil, and those of San Ignacio Miní, Santa Ana, Nuestra Señora de Loreto and Santa María la Mayor in Argentina, lie at the heart of a tropical forest. They are the impressive remains of five Jesuit missions, built in the land of the Guaranis during the 17th and 18th centuries. Each is characterized by a specific layout and a different state of conservation.",S28 32 36 W54 15 57,"State of Rio Grande do Sul, Brazil; Province of Misiones, Argentina",1983,(iv)
Iguazu National Park,Argentina,"The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans.",S25 31 5 W54 7 60,N/A,1984,(vii)(x)
"Cueva de las Manos, Río Pinturas",Argentina,"The Cueva de las Manos, Río Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos (Lama guanicoe ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia found by European settlers in the 19th century.",S47 8 60 W70 40 0,"Patagonia Region, Santa Cruz Province",1999,(iii)
